Data,Laikas,"Uþpildymas
%","Max vëjo
greitis
m/s","Vëjo
greitis
m/s","Vëjo
kryptis
°","Vëjo
pokrypis
á hori.","U
m/s","V
m/s","W
m/s","Temp.
12 m
°C",
1/1/2010,0:00,100,4,2.09,117,-1.1,1.75,-0.93,-0.07,-1.45,
1/1/2010,0:30,100,3.38,1.65,128,-2.5,1.23,-0.93,-0.09,-1.42,
1/1/2010,1:00,100,3.31,1.66,140.2,-2.2,0.97,-1.22,-0.09,-1.46,
1/1/2010,1:30,100,4.12,2.03,147.6,-2,1.03,-1.64,-0.1,-1.61,
1/1/2010,2:00,100,3.47,1.81,150.4,-2.8,0.85,-1.5,-0.11,-1.46,
1/1/2010,2:30,100,3.23,1.86,145,-3.2,1.01,-1.46,-0.12,-1.32,
1/1/2010,3:00,100,3.12,1.67,137.1,-3,1.09,-1.18,-0.1,-1.47,
1/1/2010,3:30,100,2.37,1.22,149.7,-3,0.59,-0.98,-0.07,-1.82,
1/1/2010,4:00,100,3.18,1.12,150.8,-0.9,0.53,-0.9,-0.04,-1.96,
1/1/2010,4:30,100,3.62,1.77,132.9,-2.7,1.2,-1.17,-0.09,-2.15,
1/1/2010,5:00,100,2.71,1.54,130.9,-2.2,1.09,-0.98,-0.08,-2.06,
1/1/2010,5:30,100,2.46,1.31,109.6,-2.2,1.13,-0.44,-0.07,-2.01,
1/1/2010,6:00,100,2.02,0.97,116.3,-3.3,0.73,-0.43,-0.06,-2.18,
1/1/2010,6:30,100,4.26,1.95,101.2,-2.4,1.79,-0.38,-0.11,-2.79,
1/1/2010,7:00,100,3.56,1.86,106.8,-2.4,1.68,-0.51,-0.1,-3.07,
1/1/2010,7:30,100,4.18,2.27,108.9,-3.8,2.05,-0.71,-0.16,-3.21,
1/1/2010,8:00,100,4.61,2.44,108,-2.4,2.2,-0.74,-0.14,-3.41,
1/1/2010,8:30,100,4.37,2.28,108.6,-1.5,2.05,-0.69,-0.1,-3.35,
1/1/2010,9:00,100,4.34,2.22,98.7,-2,2.07,-0.33,-0.11,-3.39,
1/1/2010,9:30,100,5.53,2.54,105.4,-2.4,2.3,-0.66,-0.13,-3.5,
1/1/2010,10:00,100,4.62,2.27,111,-0.5,1.97,-0.74,-0.07,-3.63,
1/1/2010,10:30,100,3.98,1.94,111.8,-2.6,1.67,-0.64,-0.11,-3.65,
1/1/2010,11:00,100,4.04,1.72,110.4,-0.1,1.43,-0.53,-0.06,-3.73,
1/1/2010,11:30,100,2.89,1.23,110.2,-0.9,0.99,-0.42,-0.06,-3.78,
1/1/2010,12:00,100,3.19,1.63,105,0,1.41,-0.35,-0.03,-3.58,
1/1/2010,12:30,100,3.5,1.93,92.5,-0.4,1.8,-0.08,-0.06,-3.45,
1/1/2010,13:00,100,3.02,1.53,96.5,-1.5,1.41,-0.14,-0.07,-3.23,
1/1/2010,13:30,100,3.59,1.68,72.8,-3,1.49,0.46,-0.1,-2.95,
1/1/2010,14:00,100,4.82,2.21,74.6,-1.7,1.97,0.53,-0.11,-2.88,
1/1/2010,14:30,100,4.98,2.43,91,-0.6,2.26,-0.06,-0.1,-2.65,
1/1/2010,15:00,100,4.86,2.41,92,-0.8,2.25,-0.06,-0.09,-2.69,
1/1/2010,15:30,99,4.41,2.26,98.6,-1,2.09,-0.31,-0.09,-2.88,
1/1/2010,16:00,100,4.24,2.18,98.4,-2.5,2.02,-0.3,-0.14,-3.19,
1/1/2010,16:30,100,5.1,2.18,96,-0.3,2.01,-0.21,-0.07,-3.45,
1/1/2010,17:00,100,4.74,2.2,90.8,-0.9,2.06,-0.03,-0.07,-3.67,
1/1/2010,17:30,100,4.08,2.02,92.2,-0.1,1.9,-0.05,-0.06,-3.84,
1/1/2010,18:00,100,4.99,2.15,89.4,-1.5,2,0.02,-0.09,-3.75,
1/1/2010,18:30,100,5.2,2.29,81.2,-0.4,2.1,0.32,-0.07,-3.6,
1/1/2010,19:00,100,4.15,1.9,81.5,-0.3,1.74,0.26,-0.06,-3.75,
1/1/2010,19:30,100,4.39,2.02,81.2,-1.2,1.85,0.27,-0.08,-3.77,
1/1/2010,20:00,99,4.38,1.82,77.3,0.1,1.66,0.36,-0.04,-3.97,
1/1/2010,20:30,100,4.97,2.34,82,0.6,2.14,0.3,-0.04,-3.97,
